mention_id,cluster_size
USD964454-0,4
US9552680-0,23036
US11091722-0,757
US9820494-0,63
US5031150-0,51991
US8965889-0,9352
US4277789-0,52
US6597827-0,27
US4074462-0,1
US4139146-0,68
US7099372-0,470
US4625470-0,4
US8447580-0,1105
US11464512-0,1093
US11552412-0,5687
US9120248-0,6570
US9829376-0,339
US9669312-0,18
US9500010-0,13512
US5318968-0,1249
US8841079-0,11
US5275981-0,1479
US9425831-0,517
US11159683-0,84525
USD705380-0,60
US7294658-0,107
US10989028-0,206
US4051876-0,67
US8034064-0,12
US7565248-0,1
US10871649-0,858
US10317143-0,441
US5372219-0,4
US9292526-0,1843
US6399888-0,12
US6064034-0,1
US9189934-0,12
US4480298-0,8597
USD654092-0,2
US11551584-0,216
US6820993-0,134
US5911831-0,1025
USD712884-0,1940
US7672264-0,157757
US6521177-0,1
US7008785-0,123
US6128043-0,14137
US9072730-0,4005
US6097140-0,16454
US4164800-0,113
USD359515-0,2
US5375323-0,2295
US7862350-0,946
US11201564-0,20093
US11365305-0,47067
US9952535-0,16377
US10320027-0,136
US10214993-0,1377
US7394599-0,5030
US11338586-0,26288
US4475451-0,1
US5184946-0,818
US8703763-0,4745
US6056536-0,698
US8370902-0,50545
US5077981-0,3467
US11686031-0,5222
US7483925-0,8318
US9127137-0,19
US6390081-0,5
US9148702-0,26205
US9587075-0,51761
US11685646-0,27096
US5414175-0,4248
US5799832-0,2
US5480795-0,7
US9678037-0,2974
US8547719-0,150544
USD313793-0,4428
US11525486-0,58
US8084741-0,51991
US10559392-0,3788
US11640761-0,3
US5255282-0,7
USD872718-0,257
US8099086-0,19
US5115828-0,2
US7303387-0,9
US11598473-0,1
US9833467-0,884
US10194613-0,6288
US5806783-0,399
USD403363-0,86
USD542763-0,150544
US8952448-0,150544
US10868033-0,518
US7300807-0,157757
US8176001-0,3
US6023158-0,9436
US8008251-0,68
US10109798-0,2184
US9377726-0,16377
US9663727-0,1825
US5333624-0,1197
US9761552-0,60253
US11334304-0,1258
US9242814-0,16377
US8393263-0,182
US7652346-0,16623
US9501839-0,20481
US8394022-0,10
US7635990-0,4729
US6210383-0,139
US11115144-0,42903
US10918647-3,66
US11635401-0,7267
US7305027-0,1950
US6289889-0,68
US5156786-0,55
US8415126-0,383
US5966978-0,480
US5973512-0,4799
US5188223-0,1
US6438185-0,321
US8909968-0,13512
US6648570-0,2
US6118028-0,472
US9701459-0,38
US11224246-0,880
US8975348-0,16454
US4798376-1,2
USD767128-0,6
US9155609-0,56
US9551739-0,11573
US5075561-0,17
US11464115-1,3
US7504513-0,4745
US6102478-0,2202
US8628200-0,55
US4795655-0,409
US8600797-0,5360
US6952727-0,121
US8947239-0,501
US3974140-0,14068
US8206865-0,177
US9040108-0,9582
US4305291-0,5382
US5121879-0,475
US4806091-0,7
US9461934-0,157757
US5855579-0,1496
US7734931-0,18062
US6104033-0,5425
USD471383-0,7
US8016497-0,84525
US5589969-0,558
US11543689-0,598
US10958649-0,541
US7527839-0,81
US7947143-0,157757
USRE34408-0,1249
US6982277-0,1845
US7452454-0,1707
US5227287-0,60253
US8816121-0,27
USD594508-0,26288
US4631438-0,3633
US11682035-0,1715
USD380721-0,36
USPP15161-0,506
US11686637-0,140
US7900459-0,10719
US7865492-0,8318
US4614515-0,4145
USD777337-0,2
US4543152-0,412
US9946065-0,84525
US9192336-0,83
US9259802-0,375
US5842053-0,2836
US7824473-0,1799
US6815182-1,4005
US11526241-0,660
US5409293-0,51761
US8887282-0,583
US10519934-1,34
US8820878-0,31212
USD735883-0,775
US4014535-0,2974
US7727902-0,1249
US9728667-0,88
US6930630-0,15252
US7585451-0,16454
US10069657-0,48115
US11181482-0,1707
USD700602-0,13512
US4784030-0,93
US5463383-0,261
US9340046-0,16377
US7129991-1,47067
US9847443-0,135
US5329173-0,59520
US8266319-0,108
US9377117-1,29456
US7081700-0,84525
US11535626-0,773
US10079740-0,56
US6151112-0,14
US10747904-0,133
US8001726-0,186
US7944615-0,21
US8849402-0,50315
US8718905-0,4
US5760088-0,745
US10812674-0,51991
US7507211-0,1530
US5101247-0,1279
US6030699-0,21618
US7595756-0,21
US9293014-0,3684
US11539294-0,407
US7100827-0,1520
US10130412-0,7291
US4160762-0,115
US4075347-0,1889
US9494728-0,150544
US7996293-0,136
US8756598-0,2349
US9424237-0,157757
US4806298-0,276
US9850857-0,244
US7997327-0,179
US11285148-0,560
US7423922-0,33709
US7220109-0,159
US10658171-0,1274
US7329225-0,1780
US11660390-0,996
US4059131-0,793
USD498454-0,22
US10594801-0,1
US11267493-0,718
US10514935-0,3119
US5536482-0,24
US11566224-0,592
US6624557-0,150544
US9382494-0,3
US9225847-0,4088
US5508035-0,139
US6441573-0,3747
US4430917-0,10
US5134983-0,4398
US9921822-0,157757
US4933637-0,1
US8711266-0,150544
US7318565-0,1424
USD979365-0,152
US6395545-0,1054
US9094509-0,157757
US6230184-0,7683
US9814599-0,9
US6531711-0,15590
US7365136-0,285
US9888530-0,17
US4371969-0,295
US6680213-0,33709
US4132378-0,10
US11203065-0,11006
US5580620-0,4
US5666338-0,51991
US3932218-0,1568
US5911014-0,60253
USD558177-0,150544
US10207103-0,2209
US7016215-0,51991
US7096282-0,11
US8242153-0,4745
US4264068-0,1025
US7465411-0,28
USD367623-0,25
US7194847-0,17
US5858091-0,587
US4279208-0,1940
US6067219-0,1
US8892170-0,50545
US10498321-0,59520
US10606410-0,2013
US7064494-0,47067
US8985729-0,2952
US7713906-0,7671
US11206733-0,1254
US10726713-0,18008
US4504367-0,28
US9829805-0,11650
US9405177-0,929
USPP13574-0,95
US5475129-0,1974
US9156738-0,1045
US5636243-0,33599
US11287593-0,336
USD833631-0,59
US11331519-0,136
US5013685-0,3367
US10537219-0,358
US9338618-0,26
US6469842-0,51761
US9380036-0,5
US9662249-0,147
US8245179-0,33599
US6545505-0,3330
US6812051-1,868
US10485857-0,75
US10214438-0,2120
US4625858-0,37
US10630900-0,25
US4116150-0,1180
US5404483-0,2307
US7708193-0,2152
US4491827-0,3085
US5348591-0,64
US5719849-0,372
US11239882-0,51
US5131476-0,1
US11485011-0,9
US6822732-0,1
US9849681-0,26288
US4299151-0,37
US9735032-0,3
US7809231-0,114
US4676997-0,5
US7226651-0,7267
US11637972-0,6
US10628209-0,157757
US5617146-0,840
US6903231-0,151
US6694287-0,5212
US4946787-0,940
US8684873-0,3446
US9003227-0,4993
US11101012-0,2970
US10923097-0,2311
US9202885-1,1636
USD933168-0,1114
US10597716-0,4893
US5771077-0,3112
US9442173-1,1
US10981733-0,494
US7171855-0,4672
US7218118-0,2283
US6228374-0,333
USD411027-0,49
US6665157-0,2654
US4251837-0,157757
US4884861-0,2
US5312758-0,1
US8503613-0,50315
US7326557-0,38
US8825082-0,4
US7805574-0,157757
US8180245-0,23745
US9701668-0,201
US4778424-0,12
US10541016-0,27083
US4576120-0,793
US5719888-0,51991
US8820151-0,35132
US11546581-1,434
US11253885-0,669
US6542100-0,13957
US11280783-1,63
US4199214-0,11259
US11315212-0,1258
US6361798-0,14
US5313527-0,3
US10541332-0,59520
US6632536-0,157757
US11089819-0,236
US8525414-0,17233
US10940329-1,1780
USD653875-0,94
US6002513-0,9436
US6856578-0,2
US8485210-0,3056
US6691662-0,28
US9545391-0,2
US4694405-0,1
US9356113-4,1
US10610220-0,7291
US4401619-0,3447
US8689945-0,2369
USD969526-0,9
US10829482-0,3435
US7294876-0,150544
US4215574-0,3
US5789750-0,9436
US8155449-0,20481
US10759106-0,5
US11270109-0,167
US11456753-0,2401
US9860881-0,32464
US8257841-0,3336
US9367317-0,48115
US9601045-0,7921
US9941480-0,12
US8147976-0,6461
US9686320-0,50545
US10155111-0,8118
US10920957-0,150544
US9293339-0,290
USD585955-0,1
US7271187-2,1
US6418275-0,30
US7150648-0,2054
US6183484-0,69
US5087628-0,209
US9547428-0,30474
US7023029-0,4799
US10712835-0,2196
US7152685-0,9009
US8605230-0,42903
US5496261-0,709
US10791942-1,509
US5014886-0,6
US10866239-0,233
US10316997-0,221
US8459200-0,13161
US8792699-0,30221
US5256688-0,1574
US7830953-0,7337
US5430347-0,20387
US4755870-0,3
US6164127-0,518
US7166391-1,35132
US10994628-0,3446
US5737936-0,18448
US10783384-0,3349
US9597461-0,1004
US6773653-0,1428
USD392748-0,24
US10223769-1,455
US10292744-0,1496
US9025309-0,11006
US10665149-0,1950
US7371337-0,1244
US11368255-1,86
US8007046-1,1
US4993748-0,1797
USD774964-0,3988
USD564700-0,65
US10159463-0,428
USD289621-0,84525
US10773085-0,8118
US11089023-0,13
US4854554-0,61
US6566716-0,48115
US11159522-0,1
US4650320-0,78
USD323825-0,47067
US8707630-0,259
US9810502-0,13
US6607981-0,33599
US4388165-0,5795
US11288639-0,6784
US9990381-0,775
US7367398-0,110
US5616094-0,7496
US6855593-0,1233
US7897565-0,3914
US4122688-1,34
US10750934-0,5359
US11443845-0,30
US7590777-0,157757
USD864501-0,115
USD980144-0,1854
US7810491-0,15
US4664063-0,51991
US5672311-0,7671
US4669082-0,1486
US5597691-0,681
US8217456-0,157757
US5254126-0,3568
US7925386-0,338
US9271489-0,2
US3996683-0,16
US5171627-0,32
US6294545-0,209
US8623107-0,149
US4486357-0,6734
USD981337-0,128
US9542111-0,46
US4879935-0,29
US7159000-0,50545
US5344307-0,47
US5329731-0,1
USD860616-0,2
US5130535-0,3367
US10036059-0,2586
US4336043-0,18
US9790422-0,17
US5223710-0,2307
USRE43217-0,5030
US8611450-0,3
US10630734-0,157757
US8565890-0,703
US9419297-0,29456
US10011106-0,13
US8437413-0,42903
US5789487-0,921
US6771470-0,7267
US11229405-0,2350
US8063573-0,150544
USD280295-0,1
USD837357-0,7259
US11550807-0,199
US9724681-0,1231
USD327467-0,982
US6390320-0,18062
US6776013-0,884
US6534050-0,860
US4976892-0,2085
US5550422-0,5
US7549627-0,429
US11145737-0,48115
US6163814-0,159
US4026601-0,11
US10116105-0,30474
US10089565-0,1
US10813268-0,134
USD989981-0,415
US7675396-0,201
US7270981-0,4
US11001051-5,1
US11026950-0,315
USRE29609-0,285
USD600181-0,3446
US10496737-0,261
US4569578-0,2187
US3982684-0,1122
US5179727-0,51991
US8601429-0,2387
US6827580-0,1
US5424645-0,30
US7131539-0,60253
US5011784-0,190
US4316104-0,30221
US7162741-0,2193
US4494551-0,29
US10394648-0,150544
US4884000-0,205
US8498474-0,1950
US4954628-0,1
US4395753-0,108
US7240135-0,157757
USD977375-0,80
US6448081-0,1054
US8183698-0,2360
US4379980-0,2926
US6187870-0,1933
US9277864-0,74
US9984956-0,1944
US10836709-0,77
US9116064-0,39
US9675249-0,2028
US5609220-0,1010
US5371959-0,1
US7445564-0,612
US5814442-0,428
US4631197-0,20387
US5103315-0,946
US11646728-1,13764
USD530666-0,208
US4113347-0,30221
US6471603-0,2051
US7394468-0,143
US9773705-0,30425
US8518275-0,33709
US7744068-0,21
US5312507-0,13
US6075972-0,17
US4158119-0,590
US6996675-0,157757
US5029268-0,70
US7547266-0,35132
US7370625-0,29456
US5520533-0,18008
US6493487-0,7
US5851093-0,1442
US6928086-0,157757
USD334201-0,54
US11590061-0,28
US5572539-0,59520
US9972821-0,1643
US4925652-0,3228
US4250561-0,30221
USD796216-0,334
US5341269-0,6784
US9099633-0,124
US4924783-0,28
US4171714-0,17
US11335614-0,7267
US4175193-0,4370
US9412056-0,11765
US11208908-0,795
US10174879-0,1069
US10175207-0,50315
US4536794-0,5382
US4778481-0,1889
US10858994-0,3690
USD707177-0,6
US6788937-0,32464
US10722379-0,1396
US8524441-0,115
US10474294-0,4463
US6112994-0,1716
US8529225-0,314
US11003933-0,46
US11506412-0,51761
US4000860-0,81
USD337607-0,84525
US9013877-0,33
US10663018-1,7793
US7703967-0,45
US10326798-1,2
US9897930-0,4346
US7124623-0,18448
USD465357-1,22
USD466812-0,2
US4912468-0,46
US4071681-0,628
US11054891-0,26205
US5679283-0,1283
US9135984-0,33709
US9615924-0,605
US5897911-0,1530
US8190455-0,36
US5732496-0,102
US7979140-0,226
US4283150-0,16377
US9771386-1,102
US9215593-0,11171
USPP27478-0,448
US8497921-0,84525
US6320213-0,634
USD763564-0,46
US10363276-1,7704
USD476456-0,18
US10033991-0,1360
US10740877-0,9582
US4906464-0,9
US4407795-0,3635
US9255384-0,505
US11538089-0,521
US9090630-0,7
US7436419-0,84525
US4636603-0,6784
US11190713-0,84525
US4436648-0,2740
US9551676-0,884
US6362434-0,147
US11388720-0,32464
US7711597-0,197
US9814937-0,646
US5847575-0,2307
US7242194-0,9009
US8401099-0,42903
USD772725-0,669
US6033437-0,1
US8149516-0,84525
US5218123-0,2582
US9549343-1,2774
US6693910-0,2103
US6946388-0,15252
US8077418-0,728
US8147983-0,1389
US10663159-0,59
US5063957-0,8
US11305784-0,76
US11127767-1,13764
US5082715-0,7918
US6853618-0,229
USPP19485-0,122
US4650963-0,7259
US7591934-0,56
US7554693-0,11765
US6963449-0,1733
US8579521-0,47067
US10323852-1,9
US8940586-0,30425
US6221975-0,251
US6086468-0,1
US9853947-0,17
US11002035-0,4
US11349559-0,35
US6248539-0,1142
US9589820-0,30425
US8801638-0,2
US10074822-0,15590
USD520207-0,87
US6340381-0,33
US7577802-0,2349
US8122753-0,39
US4017924-0,5
US10879098-0,30425
US8686416-0,15590
US10580417-2,12955
US9518565-0,5030
US4446075-0,40
US5432575-0,3085
US4709348-0,157757
US6658265-0,620
US11265780-0,4088
US6158990-0,1107
US8588631-0,84525
US8856219-0,53
USD860499-0,78
US6437199-0,1312
USD592429-0,334
US6204777-0,179
US6310620-0,49
US5580082-0,3031
US6014131-0,1
US10587315-0,3
US9285520-0,4463
US8664550-0,7
US4420771-0,2740
US3972146-0,1
US5183402-0,5
US6973419-0,10719
US5406507-0,2661
US4572630-0,19303
US10582538-0,32464
US7872228-0,63
US8737759-0,48115
US11014194-0,541
US10124791-0,23036
US6116272-0,3747
USD331516-0,109
US9468950-0,7671
US4778939-0,21618
US6502883-0,26
US8405434-0,20093
US6638160-0,467
US8661033-0,8
US5505106-0,2484
US7675122-0,3937
USD940561-0,39
US8016764-0,2209
US11125089-0,50315
US6891109-0,11573
US4375204-0,12936
US4644384-0,4799
US10853778-0,2046
US8294713-0,3800
US7777799-0,21618
US8416000-0,15590
US8567685-0,59520
US10338463-1,896
US7576036-0,14109
US8426662-0,681
US11046753-0,4
USD986068-0,406
US4020118-0,542
US8500761-0,36
US6374364-0,18008
US8825903-0,88
US7764264-0,1213
US11479520-0,20
USD722850-0,171
US10602443-0,150544
US5432187-0,686
US6561264-0,18448
US4841860-0,3
US9092435-0,1922
US10357281-0,65
US10245435-0,39
US7514089-0,18
US6750738-0,13
US7768442-0,15
US4266230-0,1
US11344430-0,1396
USD518529-0,19
US5238968-0,1376
US6602867-0,4145
US11060072-0,383
US3997014-0,1
US11522079-0,184
US9607370-0,20481
US9447194-0,53
US6916858-0,271
USD491233-0,457
US5987167-0,33599
US6084537-0,48115
USRE42823-0,13
US4064977-0,56
US11607040-1,326
US9432930-0,42903
US9467607-0,48
USD696749-0,132
US4895107-0,51991
US4765384-0,694
